id                       ,date       ,user   ,pc     ,activity
{F7RX0-K0FN01QO-2580USIE},01/02/2010 07:04:00,NGF0157,PC-6056,Logon
{L8EJ6-S6BQ52MH-9623TBVU},01/02/2010 10:48:00,NGF0157,PC-4124,Logon
{K0XO7-F4XQ11TO-7453ZDMT},01/02/2010 11:20:00,NGF0157,PC-4124,Logoff
{Y3CC8-P8SN93OV-6857BFHC},01/02/2010 17:15:00,NGF0157,PC-6056,Logoff
{P3PM2-O9RC87TI-2107SZTN},01/04/2010 07:10:00,NGF0157,PC-6056,Logon
{G1UE4-E9UK67GE-7304FXJV},01/04/2010 07:29:00,NOB0181,PC-3446,Logon
{D4OG8-L2OS23ZQ-4512IPFF},01/04/2010 08:02:00,IKP0472,PC-3842,Logon
{S8CE5-D1MW08WC-6500TGKM},01/04/2010 09:31:00,IKP0472,PC-4124,Logon
{G8TE2-F3RW52XB-6803DZEL},01/04/2010 09:53:00,IKP0472,PC-1313,Logon
{K5GS0-Y5ST63BR-3387HIKK},01/04/2010 10:10:00,NOB0181,PC-4124,Logon
{Y0EP6-G1XG56KP-5927GKRH},01/04/2010 10:20:00,IKP0472,PC-6056,Logon
{H1KY6-X6HO02LP-6442MXUE},01/04/2010 10:23:00,NOB0181,PC-4124,Logoff
{S5CY6-D0JO40JY-9036RJOW},01/04/2010 10:30:00,IKP0472,PC-1313,Logoff
{W9EA3-Y7HS77RM-1207BIBM},01/04/2010 10:42:00,IKP0472,PC-4124,Logoff
{I7BL9-Z0FG98WJ-1876ZRAV},01/04/2010 10:47:00,IKP0472,PC-6056,Logoff
{C6VN1-J1YX95MC-3982GOCT},01/04/2010 17:27:00,NGF0157,PC-6056,Logoff
{B6FX8-B2RF19OM-7810LLMS},01/04/2010 18:04:00,IKP0472,PC-3842,Logoff
{W2RK2-B7JN68IA-8259APIU},01/04/2010 18:29:00,NOB0181,PC-3446,Logoff
{Q0YG3-U1BZ67LX-5733DRXW},01/04/2010 22:32:00,NOB0181,PC-3446,Logon
{X7FU6-M5XD14NO-3748XLXL},01/04/2010 23:32:00,NOB0181,PC-3446,Logoff
{L7VH7-M2LS23XC-1312KIMB},01/05/2010 07:02:00,NGF0157,PC-6056,Logon
{P9VH3-H7DB02YQ-7102MIZG},01/05/2010 07:24:00,NOB0181,PC-3446,Logon
{V9ZN9-P6CL81GI-4382YKVM},01/05/2010 07:57:00,IKP0472,PC-3842,Logon
{A3RY3-S0RQ17WP-1973LJNI},01/05/2010 09:55:00,IKP0472,PC-1313,Logon
{W8CY6-V7LT92VN-4472WVCW},01/05/2010 11:29:00,IKP0472,PC-1313,Logoff
{V3UY0-W5MY23XV-5778MHMK},01/05/2010 17:30:00,NGF0157,PC-6056,Logoff
{W1BM5-R1VY02OK-5673XHPL},01/05/2010 18:03:00,NOB0181,PC-3446,Logoff
{T0YF0-Y0AG86GM-1942JPZS},01/05/2010 18:05:00,IKP0472,PC-3842,Logoff
{P3AW1-F7IW72AY-0747RQMU},01/05/2010 20:59:00,IKP0472,PC-3842,Logon
{C2RH5-M5LT37HG-1115TEFM},01/05/2010 22:41:00,IKP0472,PC-3842,Logoff
{Y2FR1-E0AL52GS-7469UQRY},01/05/2010 22:47:00,NOB0181,PC-3446,Logon
{L5QX8-B1HT52DR-6954CBLI},01/05/2010 23:13:00,NOB0181,PC-3446,Logoff
{C9VO9-Z6HB74QX-1564CJIR},01/06/2010 07:04:00,NGF0157,PC-6056,Logon
{K7EK0-M4YA34YW-0659JKED},01/06/2010 07:30:00,NOB0181,PC-3446,Logon
{O9LS1-Z6GE55CZ-9418MSNH},01/06/2010 07:51:00,IKP0472,PC-3842,Logon
{E6AA7-G3EB75TM-7515YBUW},01/06/2010 09:04:00,NOB0181,PC-4124,Logon
{B6XZ7-L0QW46XB-7231NOUE},01/06/2010 09:18:00,IKP0472,PC-6056,Logon
{N4ZB4-K6MX00PB-2653ZNLP},01/06/2010 09:39:00,NOB0181,PC-4124,Logoff
{C8QG9-D4GG08XR-1435QLGV},01/06/2010 10:57:00,IKP0472,PC-6056,Logoff
{O5LI1-S5GU07SV-3689MANP},01/06/2010 11:56:00,IKP0472,PC-7500,Logon
{C3JH6-A8KA87ZX-7897FUFE},01/06/2010 12:16:00,IKP0472,PC-5758,Logon
{W8LN4-S4RE49IS-6888JIST},01/06/2010 12:58:00,IKP0472,PC-7500,Logoff
{G7TR1-C6BU03DX-3427WJNH},01/06/2010 13:37:00,IKP0472,PC-5758,Logoff
{W3SH9-V5LI39KN-9654EJTQ},01/06/2010 17:01:00,NGF0157,PC-6056,Logoff
{W4RQ5-A7GD50TF-2831XAWD},01/06/2010 18:04:00,NOB0181,PC-3446,Logoff
{V9GO3-X5WW27KY-5822PZMD},01/06/2010 18:08:00,IKP0472,PC-3842,Logoff
{T3CZ1-Z8SZ98JU-0546RPVY},01/06/2010 21:01:00,IKP0472,PC-3842,Logon
{C2AW5-X2BV93KD-9340XDLR},01/06/2010 22:08:00,IKP0472,PC-3842,Logoff
{W6TS2-L2IL40LR-3190VCCT},01/06/2010 22:44:00,NOB0181,PC-3446,Logon
{V5PO3-D3RT87ZP-3526FCVJ},01/06/2010 23:11:00,NOB0181,PC-3446,Logoff
{O8VZ8-P6AY82ES-3308OKDQ},01/07/2010 07:12:00,NGF0157,PC-6056,Logon
{Y3JU8-R8TR56LJ-3129MFDC},01/07/2010 07:19:00,NOB0181,PC-3446,Logon
{M6BK5-A3FD23AT-1375VUBW},01/07/2010 07:54:00,IKP0472,PC-3842,Logon
{U0QN1-U3YQ11GE-1709QMOP},01/07/2010 10:53:00,IKP0472,PC-1313,Logon
{R8QZ3-Z3LM67PJ-0403HQZC},01/07/2010 11:55:00,IKP0472,PC-1313,Logoff
{M5UX4-V6IM10CX-3751GLLN},01/07/2010 13:19:00,IKP0472,PC-6056,Logon
{E3HK3-P7QB06HS-6983PDJZ},01/07/2010 14:28:00,IKP0472,PC-6056,Logoff
{A7FK3-J7UO00EQ-6264LHTC},01/07/2010 17:17:00,NGF0157,PC-6056,Logoff
